"UNITID","SGRNT_T","IGRNT_T","LOAN_T","FLOAN_T","SCFA1N","SCFA1P","SCFA11P","SCFA12P","SCFA13P","SCFA14P","SCFY1N","SCFY1P","ANYAIDP","FGRNT_P","FGRNT_A","SGRNT_P","SGRNT_A","IGRNT_P","IGRNT_A","LOAN_P","LOAN_A","UAGRNTT","AGRNT_P","AGRNT_A","PGRNT_P","PGRNT_A","OFGRT_P","OFGRT_A","FLOAN_P","FLOAN_A","OLOAN_P","OLOAN_A","UAGRNTP","UAGRNTA","UPGRNTP","UPGRNTA","UFLOANP","UFLOANA","UAGRNTN","UFLOANT","AGRNT_T","FGRNT_T","PGRNT_T","OFGRT_T","OLOAN_T","AIDFSIP","SCFY11P","SCFY12P","SCFY13P","SCFY14P","GIS4A2","GIS4T12","GIS4A12","GIS4T22","GIS4A22","GIS4T32","GIS4A32","GIS4T42","GIS4A42","GIS4T52","GIS4A52","GRN4A2","GRN4T12","GRN4A12","GRN4T22","GRN4A22","GRN4T32","GRN4A32","GRN4T42","GRN4A42","GRN4T52","GRN4A52"
105330,588557.00,28654820.00,14717611.00,12870309.00,4663,19,0,64,36,0,,,92,36,4634,5,2383,82,7533,52,6122,139746800.00,86,9222,36,4352,7,1703,51,5447,3,12153,65,8524,35,4192,48,6872,16395,83562632.00,37080149.00,7836772.00,7289959.00,546813.00,1847302.00,91,,,,,10510,8053114.00,13267,4919996.00,12779,3277012.00,10338,2623893.00,7763,1946908.00,5829,,,,,,,,,,,
105349,1200.00,11636.00,0.00,0.00,45,1,0,96,0,4,,,62,60,4681,4,600,24,1058,0,,3471551.00,62,4972,60,4508,13,777,0,,0,,29,3510,28,2869,0,,989,0.00,139214.00,126378.00,121715.00,4663.00,0.00,62,,,,,4725,106857.00,5088,14767.00,3692,5954.00,2977,0.00,,0.00,,,,,,,,,,,,
105367,,,,,0,0,,,,,,,,,,,,,,,,925143.00,,,,,,,,,,,52,5607,50,4848,61,11500,165,2207978.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105428,1500.00,169273.00,483735.00,467632.00,712,6,93,1,6,0,,,76,62,4538,0,750,16,1459,15,4651,19701196.00,65,4691,62,4514,2,706,14,4540,0,5368,48,3435,41,3509,20,6119,5735,14390751.00,2176466.00,2005693.00,1995099.00,10594.00,16103.00,70,,,,,4536,1377158.00,5197,557689.00,4497,133858.00,2479,7400.00,569,5775.00,1925,,,,,,,,,,,
105482,0.00,0.00,204282.00,161882.00,,,,,,,36,19,86,53,3520,0,,0,,86,6590,231722.00,53,3520,53,3415,11,500,86,5222,44,2650,58,2126,58,2071,87,4035,109,661715.00,66885.00,66885.00,64885.00,2000.00,42400.00,86,,,,,,,,,,,,,,,,2010,35500.00,2958,18760.00,1876,7165.00,1024,900.00,450,0.00,
105525,41848.00,444241.00,865858.00,864658.00,2341,9,93,0,5,2,,,65,53,4859,1,1993,10,1931,10,3685,33570255.00,59,4792,53,4705,10,854,10,3695,0,1200,35,3540,32,3533,11,3595,9484,10885017.00,6569714.00,6083625.00,5890610.00,193015.00,1200.00,63,,,,,4641,4225800.00,5418,1278236.00,4615,385555.00,2696,32080.00,594,0.00,0,,,,,,,,,,,
105534,2095798.00,277330.00,24155716.00,23357089.00,,,,,,,3037,95,79,49,5342,7,9398,4,2054,66,12120,11486838.00,54,6305,49,5266,11,438,66,11720,3,10508,54,6636,47,5553,65,11343,1731,23513920.00,10391206.00,8018078.00,7873374.00,144704.00,798627.00,79,,,,,,,,,,,,,,,,3327,1969915.00,3408,312303.00,3322,96093.00,2669,24023.00,1716,0.00,
105543,1048230.00,55828.00,9067344.00,8466365.00,,,,,,,1334,95,83,69,4158,9,8386,1,3722,76,8942,5194381.00,69,5356,66,4273,13,455,72,8783,4,12020,69,5361,66,4272,72,8789,969,8911963.00,4933116.00,3829058.00,3747242.00,81816.00,600979.00,83,,,,,,,,,,,,,,,,3502,1016634.00,3592,161173.00,3504,49591.00,2755,12397.00,1771,0.00,
105589,0.00,423806.00,214135.00,152750.00,35,8,,,,,,,100,43,5854,0,,100,12109,71,8565,4237181.00,100,14618,43,4788,26,1778,69,6365,11,15346,82,11360,44,4157,56,7872,373,2015156.00,511619.00,87813.00,71813.00,16000.00,61385.00,100,,,,,,,,,,,,,,,,17889,178166.00,22271,154248.00,22035,15623.00,15623,77199.00,12867,39883.00,9971
105659,154387.00,291810.00,3546661.00,3484023.00,,,,,,,699,64,84,65,4137,4,5324,36,1153,70,7283,3425022.00,71,4695,65,4079,20,188,69,7198,1,6960,70,4437,64,3911,70,6675,772,5133394.00,2328661.00,1882464.00,1855937.00,26527.00,62638.00,84,,,,,,,,,,,,,,,,3762,1163060.00,4260,225020.00,3261,122248.00,3304,16765.00,882,7609.00,761
105668,0.00,1275.00,148960.00,148960.00,84,0,80,13,7,0,,,83,74,3847,0,,1,1275,56,3169,10329962.00,74,3867,74,3798,4,1000,56,3169,0,,21,2381,15,2953,12,3834,4338,9735204.00,239767.00,238492.00,235492.00,3000.00,0.00,82,,,,,3611,173417.00,4033,42484.00,3862,12380.00,2063,2822.00,941,0.00,0,,,,,,,,,,,
102614,1608476.00,1184380.00,1334085.00,1019669.00,697,9,0,86,14,0,,,84,27,4215,56,4135,40,4291,32,6064,19591906.00,74,6964,26,4048,7,830,30,4810,4,12577,43,6058,21,3561,23,6898,3234,11761270.00,3572647.00,779791.00,740774.00,39017.00,314416.00,82,,,,,6446,914953.00,9531,315900.00,9573,237885.00,4325,118549.00,2891,108120.00,2845,,,,,,,,,,,
102632,288986.00,175826.00,238030.00,234030.00,145,6,0,92,8,0,,,77,35,4030,48,4188,43,2791,31,5290,4177330.00,70,6572,35,3975,5,400,30,5319,1,4000,30,5562,18,3529,18,7164,751,3202254.00,670353.00,205541.00,202741.00,2800.00,4000.00,75,,,,,6911,225073.00,9003,96163.00,8014,67968.00,6179,35094.00,3899,18005.00,2572,,,,,,,,,,,
