"UNITID","OPEFLAG","SECTOR","DEGGRANT","HBCU","HOSPITAL","CARNEGIE","PSET4FLG","PEO1ISTR","PEO2ISTR","PEO3ISTR","PEO4ISTR","RELAFFIL","LEVEL7","LEVEL8","LEVEL17","LEVEL18","LEVEL19","OPENADMP","CREDITS1","CREDITS2","CREDITS3","CREDITS4","SLO5","SLO6","STUSRV1","STUSRV2","STUSRV3","STUSRV4","STUSRV8","ATHASSOC","SPORT1","CONFNO1","SPORT2","CONFNO2","SPORT3","CONFNO3","SPORT4","CONFNO4","APPLFEEU","ROOM","ROOMCAP","BOARD","RMBRDAMT","ALLONCAM","TUITPL","TUITPL1","TUITPL2","TUITPL3","TUITPL4","DISTCRS","LIBRES1","LIBRES2","LIBRES3","LIBRES4","LIBRES5","LIBRES6","LIBRES9","DISAB","TUITION1","FEE1","HRCHG1","TUITION2","FEE2","HRCHG2","TUITION3","FEE3","HRCHG3","chg2ay2","chg2at2","chg2af2","chg2ay3","chg2at3","chg2af3","chg3ay2","chg3at2","chg3af2","chg3ay3","chg3at3","chg3af3","RMINSTTP","RMOUSTTP","RMFRGNCP","DVEF13","DVEF14","DVEF15","ENRTOT","EFUG","EFUG1ST","EFUGTRN","EFUGCNT","PCUENRAN","PCUENRAP","PCUENRBK","PCUENRHS","PCUENRWH","PCUENR2M","PCUENRUN","PCUENRNR","PCUENRW","EFUGFT","EFUGPT","PCUENRNH","PCUENRAS","PCUDEEXC","PCUDESOM","PCUDENON","LPBOOKSP","LPMEDIAP","LEBOOKSP","LEDATABP","LEMEDIAP","LSALWAGP","LFRNGBNP","LEXMSBBP","LEXMSCSP","LEXMSOTP","LEXOMTLP","LEXPTOTF","LPSERIAP","LESERIAP","F1CORREV","F3GVGCPC","F1TUFEPC","F1STAPPC","F1LCAPPC","F1GVGCPC","F1PGGCPC","F1INVRPC","F1OTRVPC","F1COREXP","F1INSTPC","F1RSRCPC","F1PBSVPC","F1ACSPPC","F1STSVPC","F1INSUPC","F1OTEXPC","F1SAFBPC","F1EQUITR","F1ENDMFT","F2CORREV","F2TUFEPC","F2GVGCPC","F2PGGCPC","F2INVRPC","F2OTRVPC","F2COREXP","F2INSTPC","F2RSRCPC","F2PBSVPC","F2ACSPPC","F2STSVPC","F2INSUPC","F2OTEXPC","Expr1155","F2ENDMFT","F2EQUITR","F2SAFBPC","F3CORREV","F3TUFEPC","F3SSEAPC","F3OTRVPC","F3TUFEFT","F3SSEAFT","F3OTRVFT","F3COREXP","F3INSTPC","F3OTEXPC","F3EQUITR","F3PGGCPC","F3INVRPC","F3RSRCPC","F3PBSVPC","F3ACSPPC","F3STSVPC","F3INSUPC","F3SAFBPC","F3SWINSP","F3SWRSRP","F3SWPBSP","F3SWACSP","F3SWSTSP","F3SWISPP","F3SWOTEP","F3SWCREP","F1SWCREP","F1SWINSP","F1SWRSRP","F1SWPBSP","F1SWACSP","F1SWSTSP","F1SWISPP","F1SWOTEP","F2SWCREP","F2SWINSP","F2SWRSRP","F2SWPBSP","F2SWACSP","F2SWSTSP","F2SWISPP","F2SWOTEP","SALTOTL","SalProf","SalAssc","SalAsst","SalInst","Sallect","SALNRNK","SFTETOTL","SFTEPSTC","SFTELCAI","CINSON","COTSON","CINSOFF","COTSOFF","TUFEYR2","TUFEYR3","PRCH_EF","IDX_EF","PRCH_F","IDX_F","PRCH_SFA","IDX_SFA"
122977,1,1,1,2,2,40,1,1,1,0,1,-2,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,2,2,-2,2,-2,2,-2,2,-2,0,2,,3,,2,2,0,0,0,0,1,1,1,1,1,1,1,0,1,1104,38,46,1104,38,46,8040,38,335,1136,1104,32,1142,1104,38,8078,8040,38,8078,8040,38,73,0,14,4,68,28,30828,30828,6429,1821,19904,0,10,9,40,26,4,1,11,53,11304,19524,0,9,9,17,74,77,3,19,0,0,73,21,1,4,0,2,90,0,0,278960288.00,,22,27,9,26,1,1,13,250748233.00,46,0,0,9,17,14,14,64,0,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,56,,,55,54,44,4,,,,,,,,,92628,,,,92628,,,1258,699,49,,,18616,25552,1136,1142,-2,-2,-2,-2,-2,-2
123013,1,4,1,2,2,40,1,1,1,-2,1,-2,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,2,-2,2,-2,2,-2,2,-2,0,2,,3,,2,2,0,0,0,0,1,1,1,1,1,1,1,0,2,1280,60,46,1280,60,46,7328,60,270,1318,1280,38,1340,1280,60,6637,6599,38,7388,7328,60,94,0,4,7,55,38,21217,21217,2460,1192,14836,1,5,2,33,50,5,3,1,55,6531,14686,0,5,7,17,76,50,0,44,0,6,62,21,6,4,0,6,165,0,0,184539580.00,,8,23,28,23,0,0,17,175157390.00,52,0,1,15,7,12,13,66,23,2713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,58,,34,54,53,42,19,,,,,,,,,80811,,,,80811,,,1121,601,82,,,19782,25830,1318,1340,-2,-2,-2,-2,-2,-2
123165,1,2,1,2,2,31,1,0,1,0,0,-2,0,0,0,0,0,2,1,0,1,0,1,1,0,1,1,0,0,1,2,-2,1,197,2,-2,1,197,60,1,947,1,,1,1,0,1,1,0,2,1,1,1,1,1,1,0,2,50766,216,1587,50766,216,1587,50766,216,1587,49152,48938,214,50982,50766,216,49152,48938,214,50982,50766,216,40,51,4,3,97,0,1057,1039,270,17,743,0,15,4,11,52,6,6,5,100,1030,9,0,15,0,0,100,48,0,43,0,5,27,9,11,27,1,25,1537,1,3,,,,,,,,,,,,,,,,,,,,,36316597.00,91,1,22,-17,3,59578300.00,54,0,13,0,20,12,0,46,293434,82,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,38,,54,,34,33,,101042,136482,98393,71300,54167,,60000,319,108,27,68464,68464,,,49152,50982,-2,-2,-2,-2,-2,-2
123217,1,4,1,2,2,40,1,1,1,-2,1,-2,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,2,2,-2,2,-2,2,-2,2,-2,0,2,,3,,2,1,0,0,1,0,1,1,1,1,1,1,0,0,2,1288,100,46,1288,100,46,7196,100,257,1388,1288,100,1388,1288,100,6988,6888,100,7296,7196,100,99,1,0,8,64,28,11959,11959,2536,597,7448,1,4,3,65,24,3,1,0,57,4999,6960,0,4,4,15,81,85,1,13,0,0,64,24,8,3,0,0,134,0,0,105286813.00,,4,35,24,34,0,0,3,95033127.00,39,0,0,7,15,15,25,49,36,1148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,54,,,53,46,35,0,,,,,,,,,67597,,,,67597,,,524,290,10,,,17288,23196,1388,1388,-2,-2,-2,-2,-2,-2
123280,1,2,1,2,2,51,1,0,1,0,0,54,1,0,0,0,0,2,1,1,1,0,0,0,0,1,1,0,0,2,2,-2,2,-2,2,-2,2,-2,50,1,48,3,,2,1,0,0,1,0,1,1,1,1,1,1,0,0,1,11200,860,350,11200,860,350,11200,860,350,12060,11200,860,12060,11200,860,12060,11200,860,12060,11200,860,67,22,11,2,48,48,52,46,9,1,36,0,7,9,0,85,0,0,0,43,24,22,0,7,24,0,76,96,0,3,0,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,669343.00,31,33,37,0,0,684970.00,17,11,0,5,2,43,23,44,,89,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,100,15,,55,0,49,0,29370,29370,,,,,,13,10,1,25900,25900,33900,33900,12060,12060,-2,-2,-2,-2,-2,-2
123299,1,1,1,2,2,40,1,1,1,0,1,-2,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,2,2,-2,2,-2,2,-2,2,-2,0,1,120,2,,2,1,0,0,1,0,1,1,1,1,1,1,1,0,2,1104,79,46,1104,79,46,6240,79,260,1183,1104,79,1183,1104,79,6223,6144,79,6319,6240,79,91,0,1,22,43,34,9289,9289,1293,392,5600,3,4,2,16,67,5,3,0,59,3450,5839,0,3,19,26,54,49,2,20,0,20,58,21,4,1,1,16,172,0,9,83103482.00,,5,28,19,47,0,0,1,74138037.00,32,0,9,8,13,13,25,52,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,64,,12,54,52,36,8,,,,,,,,,66892,,,,66892,,,464,211,5,11625,16761,18989,24125,1183,1183,-2,-2,-2,-2,-2,-2
123341,1,4,1,2,2,40,1,1,1,-2,1,-2,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,2,-2,2,-2,2,-2,2,-2,0,1,121,2,7400,2,1,0,0,1,0,1,1,1,1,1,1,1,0,2,1104,38,46,1104,38,46,6168,46,257,1142,1104,38,1142,1104,38,6182,6144,38,6214,6168,46,98,1,1,5,63,32,17833,17833,3069,1383,11905,1,6,3,27,57,6,0,1,54,6482,11351,0,6,11,18,71,39,0,61,0,0,67,17,5,5,2,3,146,0,0,158547357.00,,9,2,45,31,0,0,15,138197263.00,33,0,2,5,12,12,36,57,10,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,73,,28,67,66,45,6,,,,,,,,,60113,,,,60113,,,764,472,4,13862,18934,20231,25303,1142,1142,-2,-2,-2,-2,-2,-2
123457,1,2,1,2,2,22,1,0,1,0,0,34,1,0,0,0,0,2,1,1,1,0,0,1,1,1,1,1,0,1,2,-2,1,301,1,301,1,301,35,1,580,1,,2,1,0,0,1,0,1,1,1,1,1,1,1,0,2,25950,0,1095,25950,0,1095,25950,0,1095,25200,25200,0,25950,25950,0,25200,25200,0,25950,25950,0,84,15,1,2,70,28,1012,790,118,118,552,3,5,4,16,59,3,9,1,66,741,49,1,4,9,25,65,12,0,65,0,16,60,0,2,29,0,9,331,0,7,,,,,,,,,,,,,,,,,,,,,16836045.00,88,1,9,2,0,19684456.00,39,0,0,8,29,24,0,56,6276,34,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,64,,,55,43,37,0,57566,67639,58238,56040,48317,,,211,114,5,38504,38504,42538,42538,25200,25950,-2,-2,-2,-2,-2,-2
123484,1,4,1,2,2,40,1,1,1,-2,1,-2,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,2,-2,2,-2,2,-2,2,-2,0,1,164,2,8000,2,1,0,0,1,0,1,1,1,1,1,1,1,0,2,1104,50,46,1104,50,46,6192,50,258,1154,1104,50,1154,1104,50,6194,6144,50,6242,6192,50,70,29,1,9,35,53,2249,2249,326,128,1481,3,7,5,16,57,7,6,0,46,740,1509,1,6,15,28,56,25,4,43,0,16,52,26,4,10,0,8,178,0,12,32822827.00,,7,49,16,26,2,0,0,30029703.00,41,0,2,15,13,17,12,46,13,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,39,69,52,30,41,30,0,,,,,,,,,70603,,,,70603,,,155,67,3,14113,19201,15689,20777,1154,1154,-2,-2,-2,-2,-2,-2
123509,1,1,1,2,2,40,1,1,1,0,1,-2,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,2,-2,2,-2,2,-2,2,-2,0,2,,3,,2,2,0,0,0,0,1,1,1,1,1,1,1,0,2,1380,66,46,1380,66,46,8070,66,269,1447,1380,67,1446,1380,66,8136,8070,66,8136,8070,66,87,1,12,,,,9492,9492,1104,1085,6053,0,38,3,31,19,5,1,3,53,2526,6966,1,37,6,10,83,22,0,61,0,17,66,23,2,7,1,0,191,0,0,83863342.00,,7,1,61,16,0,1,14,71930129.00,45,0,0,5,15,20,15,60,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,,50,48,45,60,,,,,,,,,86332,,,,86332,,,353,217,17,,,19887,26577,1447,1446,-2,-2,-2,-2,-2,-2
123527,1,4,1,2,2,40,1,1,1,-2,1,-2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,2,1,138,1,138,1,138,1,138,0,2,,3,,2,2,0,0,0,0,1,1,1,1,1,1,0,0,2,0,1328,46,0,1328,46,0,5500,211,1238,0,1238,1238,0,1238,1238,0,1238,5500,0,5500,92,0,1,4,55,41,12720,12720,1815,1334,7874,0,5,11,67,13,3,0,0,58,3937,8783,0,5,12,22,66,36,4,60,0,0,63,25,4,6,0,1,165,0,0,117884633.00,,4,30,25,35,0,0,6,80043795.00,42,0,2,5,14,21,15,59,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,69,,50,45,55,38,0,,,,,,,,,73940,,,,73940,,,584,364,65,,,15854,20116,1238,1238,-2,-2,3,428426,-2,-2
123554,1,2,1,2,2,21,1,0,1,0,0,30,1,0,1,0,0,2,1,1,1,0,1,1,0,1,1,1,0,1,2,-2,1,136,1,136,1,136,55,1,1601,2,,2,1,0,0,1,0,2,1,1,1,1,1,1,0,2,44210,150,1583,44210,150,1583,44210,150,1583,42930,42780,150,44360,44210,150,42930,42780,150,44360,44210,150,84,13,3,2,90,8,3908,2802,562,149,2078,0,12,4,25,46,6,4,2,60,2597,205,1,11,0,0,100,37,2,36,0,0,44,11,16,23,2,5,908,0,25,,,,,,,,,,,,,,,,,,,,,99344884.00,95,1,7,-5,3,122981495.00,45,0,0,10,19,26,0,62,41834,67,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,63,,,45,46,37,0,98052,116034,96557,76199,,,,700,256,16,63047,63047,60877,60877,42930,44360,-2,-2,-2,-2,-2,-2
123563,1,4,1,2,2,40,1,1,1,-2,1,-2,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,2,-2,2,-2,2,-2,2,-2,0,2,,3,,2,2,0,0,0,0,1,1,1,1,1,1,1,0,2,1104,36,46,1104,36,46,6288,36,216,1416,1380,36,1140,1104,36,7386,7350,36,6324,6288,36,98,1,1,8,55,36,9736,9736,1560,613,6046,0,16,14,29,29,10,1,0,57,3020,6716,1,15,10,29,61,34,0,66,0,0,57,24,2,10,2,4,166,0,0,98520757.00,,4,32,32,32,0,1,0,78850510.00,49,0,1,11,14,12,13,58,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,50,,28,45,43,33,0,,,,,,,,,74051,,,,74051,,,377,211,30,,,19839,25023,1416,1140,-2,-2,-2,-2,-2,-2
123572,1,1,1,2,2,21,1,0,1,0,0,-2,1,0,0,0,0,2,1,0,1,0,1,1,1,1,1,1,1,1,2,-2,1,138,1,138,1,138,55,1,3223,2,,2,1,0,0,1,0,1,1,1,1,1,1,1,0,2,5472,1916,,5472,1916,,16632,1916,372,7330,5472,1858,7388,5472,1916,18490,16632,1858,18548,16632,1916,99,1,0,1,89,10,9323,8631,1806,783,5983,0,5,2,31,46,6,7,2,63,7806,825,0,5,0,11,89,62,7,21,0,3,65,0,4,17,0,15,436,1,6,171354564.00,,32,35,0,19,4,1,10,169282150.00,39,1,10,13,15,15,8,53,10,4371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,52,33,29,40,39,40,0,,,,,,,,,84538,97446,80486,71751,,61338,,1067,364,28,25178,36338,25984,37144,7330,7388,-2,-2,-2,-2,-2,-2
123651,1,2,1,2,2,32,1,0,1,0,0,27,1,0,0,0,0,2,1,1,1,0,0,1,1,1,1,1,0,1,2,-2,1,302,1,302,1,302,45,1,983,1,,2,1,0,0,1,0,1,1,1,1,1,1,1,0,2,30980,450,1290,30980,450,1290,30980,450,1290,30050,29980,70,31430,30980,450,30050,29980,70,31430,30980,450,86,14,0,,,,2104,1791,413,183,1169,0,4,6,37,44,4,5,1,66,1447,344,1,4,5,0,95,38,8,52,0,0,59,0,2,2,0,37,321,2,0,,,,,,,,,,,,,,,,,,,,,34089609.00,91,1,5,0,3,36965768.00,37,0,0,4,21,39,0,59,2397,49,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,74,,,56,56,32,,72500,84189,70294,57961,42549,,,286,125,6,45340,45340,41840,41840,30050,31430,-2,-2,-2,-2,-2,-2
123800,1,4,1,2,2,40,1,1,1,-2,1,-2,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,2,2,-2,2,-2,2,-2,2,-2,0,2,,3,,2,2,0,0,0,0,1,1,1,1,1,1,1,0,2,1288,48,46,1288,48,46,5908,48,211,1336,1288,48,1336,1288,48,5452,5404,48,5956,5908,48,97,0,0,4,64,31,18727,18727,3552,935,12465,0,11,4,70,9,3,2,1,54,7405,11322,0,10,10,24,66,76,2,18,0,5,96,0,0,4,0,0,93,0,0,175987887.00,,3,49,24,20,0,1,4,170150721.00,37,1,3,12,13,15,19,53,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,57,0,33,54,51,38,0,,,,,,,,,81341,85997,,63606,,,,880,434,64,,,19777,24397,1336,1336,-2,-2,-2,-2,-2,-2
123952,1,2,1,2,2,56,1,0,1,1,0,-2,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,2,2,-2,2,-2,2,-2,2,-2,85,2,,3,,2,2,0,0,0,0,2,1,1,1,1,1,1,0,1,41800,1100,1266,41800,1100,1266,41800,1100,1266,44068,42220,1848,42900,41800,1100,44068,42220,1848,42900,41800,1100,14,10,76,,,,519,262,21,47,189,0,14,0,14,15,2,0,56,38,250,12,0,13,0,0,100,15,2,83,0,1,41,16,11,26,0,6,401,0,0,,,,,,,,,,,,,,,,,,,,,22163000.00,94,0,3,3,1,18065000.00,36,0,0,11,4,49,0,58,,64,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,86,,,65,61,26,,93724,,,,,,93724,97,45,7,,,66897,66897,44068,42900,-2,-2,-2,-2,-2,-2
123961,1,2,1,2,1,15,1,0,1,0,0,-2,1,1,1,1,1,2,0,0,1,0,1,1,0,1,1,1,1,1,1,127,1,127,1,127,1,127,80,1,6400,1,,2,1,0,1,1,0,1,1,1,1,1,1,0,0,1,51442,841,1733,51442,841,1733,51442,841,1733,50210,49464,746,52283,51442,841,50210,49464,746,52283,51442,841,42,42,15,2,94,3,43871,18794,3068,1450,14039,0,21,4,14,39,5,2,14,52,18195,599,0,21,0,3,96,28,40,9,0,20,36,11,8,35,0,10,1325,1,3,,,,,,,,,,,,,,,,,,,,,2541702000.00,52,16,25,-2,10,3199775000.00,59,12,2,4,9,15,0,59,117551,74,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,54,46,7,14,21,36,,125227,174591,108722,96581,59532,62643,,14230,4678,163,69711,69711,69711,69711,50210,52283,-2,-2,-2,-2,-2,-2
124113,1,4,1,2,2,40,1,1,1,-2,0,-2,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,2,2,-2,2,-2,2,-2,2,-2,0,1,72,1,,2,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1134,0,46,1134,0,46,6780,0,236,1134,1134,0,1134,1134,0,6880,6880,0,6880,6880,0,99,1,0,3,42,55,6025,6025,1392,793,3365,1,3,6,55,32,3,1,0,38,1211,4814,0,2,17,16,67,8,1,91,0,0,56,19,7,16,0,1,205,0,0,46095927.00,,5,22,27,44,0,1,0,49223069.00,31,0,1,2,9,7,49,63,24,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,72,95,68,82,84,53,23,,,,,,,,,81006,89992,69834,,,,33408,221,71,65,10924,16670,18776,24522,1134,1134,-2,-2,-2,-2,-2,-2
124292,1,2,1,2,2,31,1,0,1,0,0,30,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,2,2,-2,2,-2,2,-2,2,-2,0,1,398,1,7950,2,1,0,0,1,0,2,1,1,0,1,1,0,0,1,24500,0,,24500,0,,24500,0,,24500,24500,0,24500,24500,0,24500,24500,0,24500,24500,0,36,60,5,,,,386,386,87,13,286,0,2,0,16,69,7,3,3,49,386,0,0,2,0,0,100,82,8,0,0,0,73,20,2,4,0,1,413,9,0,,,,,,,,,,,,,,,,,,,,,14270658.00,44,0,44,10,2,13098966.00,43,0,0,7,2,48,1,43,44652,88,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,61,,,33,78,31,0,81718,89873,81572,60934,,,,84,34,2,35714,35714,41248,41248,24500,24500,-2,-2,-2,-2,-2,-2
124487,1,2,1,2,2,-3,1,0,1,0,0,27,1,0,0,0,0,2,1,1,1,0,0,0,0,1,0,0,0,2,2,-2,2,-2,2,-2,2,-2,65,2,,3,,2,1,0,0,1,0,1,1,1,1,1,1,1,0,1,8964,725,249,8964,725,249,8964,725,249,9942,9342,600,9689,8964,725,9942,9342,600,9689,8964,725,0,80,0,,,,192,171,10,16,145,1,5,29,13,43,9,0,0,50,41,130,3,2,19,21,60,80,5,9,0,0,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,1768606.00,91,0,8,0,0,1728207.00,39,0,0,5,13,38,6,45,,38,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,70,,,80,75,0,0,18884,,,,,,18884,29,15,4,,,25415,25415,9942,9689,-2,-2,-2,-2,-2,-2
125028,1,4,1,2,2,40,1,1,1,-2,1,-2,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,2,2,-2,2,-2,2,-2,2,-2,0,2,,3,,2,1,0,0,1,0,1,1,1,1,1,1,1,0,2,1338,50,46,1338,50,46,7000,50,250,1388,1338,50,1388,1338,50,7050,7000,50,7050,7000,50,98,2,0,6,65,29,12851,12851,2061,1137,8446,0,5,2,59,29,4,1,0,55,4302,8549,0,4,11,14,75,71,1,14,0,0,68,16,4,3,8,0,82,0,14,86694657.00,,6,39,24,27,0,0,4,79748932.00,40,0,0,14,8,7,30,59,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,66,,42,63,60,37,8,,,,,,,,,76359,,,,76359,,,418,257,19,,,19829,25491,1388,1388,-2,-2,3,125019,-2,-2
125091,1,4,1,2,2,40,1,1,1,-2,1,-2,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,2,2,-2,2,-2,2,-2,2,-2,0,2,,3,,2,1,0,0,1,0,1,1,1,1,1,1,1,0,2,1104,22,46,1104,22,46,7320,22,305,1114,1104,10,1126,1104,22,5914,5904,10,7342,7320,22,95,0,0,5,62,33,11789,11789,2117,543,7165,0,3,11,53,27,5,0,0,58,4193,7596,0,3,11,22,66,89,7,4,0,0,65,19,7,6,0,3,117,1,0,114521103.00,,3,35,14,44,0,2,3,116588394.00,35,1,0,4,16,14,30,48,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,58,57,47,53,31,36,5,,,,,,,,,67578,,,,67578,,,465,293,29,,,19567,25783,1114,1126,-2,-2,-2,-2,-2,-2
