UNITID,EFFT,EFLEVEL
110565,4274,31
110574,11553,30
110574,1584,31
110583,27804,30
110583,4143,31
110592,20003,30
110592,3675,31
110608,29056,30
110608,4422,31
110617,23181,30
110617,3680,31
110635,28107,30
110635,6198,31
110644,28544,30
110644,5679,31
110653,26876,30
110653,6540,31
110662,30329,30
110662,6535,31
110671,19533,30
110671,5345,31
110680,27386,30
110680,5714,31
110705,21199,30
110705,4982,31
110714,16509,30
110714,4204,31
110778,5,30
110875,79,30
110875,31,31
110918,11,30
110918,1,31
111009,162,30
111054,214,30
111054,29,31
111081,935,30
111081,205,31
111188,1075,30
111188,236,31
111434,1010,30
111434,269,31
111461,6267,30
111461,1615,31
111513,117,30
111513,37,31
111638,226,30
111638,6,31
111708,176,30
111708,57,31
111717,300,30
111717,93,31
111726,258,30
111726,73,31
111744,164,30
111744,51,31
111762,92,30
111762,29,31
111799,73,30
111799,20,31
111887,6706,30
111887,1692,31
111896,839,30
111896,219,31
111920,3911,30
111920,1032,31
111939,5866,30
111939,1681,31
111948,6119,30
111948,1511,31
111966,46,30
111966,,31
112075,1772,30
112075,406,31
112084,517,30
112084,57,31
112172,4997,30
112172,1354,31
112181,89,30
112181,27,31
112190,5350,30
112190,1167,31
112260,1343,30
112260,321,31
112288,393,30
112288,116,31
112367,302,30
112367,202,31
112385,1438,30
112385,188,31
112394,483,30
112394,105,31
112446,270,30
112446,20,31
112455,59,30
112455,21,31
112561,689,30
112561,221,31
112570,334,30
112570,78,31
112686,1719,30
112686,497,31
112826,1776,30
112826,323,31
113096,3367,30
113096,1055,31
113111,1821,30
113111,438,31
113193,3461,30
113193,939,31
113218,2097,30
113218,568,31
113236,5211,30
113236,1266,31
113333,10346,30
113333,2449,31
113449,172,30
113449,26,31
113537,19,30
113573,3943,30
113573,1121,31
113582,89,30
113582,4,31
113634,7409,30
113634,1478,31
113698,1225,30
113698,268,31
113856,7761,30
113856,1976,31
113980,8036,30
113980,2614,31
114044,453,30
114044,121,31
114123,316,30
114123,169,31
114266,2425,30
114266,662,31
114354,2349,30
114354,392,31
114390,285,30
114390,51,31
114415,99,30
114415,61,31
114433,475,30
114433,172,31
114460,192,30
114460,67,31
114628,5,30
114628,5,31
114637,16,30
114637,1,31
114716,4864,30
114716,1005,31
114761,61,30
114761,17,31
114789,6797,30
114789,2035,31
114813,2074,30
114813,211,31
114859,7228,30
114859,2093,31
114938,1777,30
114938,464,31
114947,302,30
114947,140,31
115001,6697,30
115001,1384,31
115010,265,30
115010,70,31
115083,148,30
115083,,31
115126,3693,30
115126,1038,31
115296,6026,30
115296,1648,31
115357,63,30
115357,17,31
115393,3428,30
115393,984,31
115409,829,30
115409,214,31
115658,34,30
115658,8,31
115728,445,30
115728,95,31
115755,7485,30
115755,1282,31
115773,266,30
115773,11,31
115861,3384,30
115861,1109,31
115931,441,30
115931,148,31
116226,70,30
116226,1,31
116350,276,30
116350,66,31
116439,4956,30
116439,1720,31
116563,173,30
116563,13,31
116712,56,30
116846,61,30
116846,4,31
117052,2894,30
117052,973,31
117104,467,30
117104,91,31
117113,969,30
117113,102,31
117140,3812,30
117140,557,31
117168,496,30
117168,84,31
117195,649,30
117195,160,31
117238,142,30
117238,16,31
117247,2009,30
117247,388,31
117274,608,30
117274,190,31
117557,98,30
117557,16,31
117575,13,30
117575,4,31
117627,1765,30
117627,327,31
117636,864,30
117645,8994,30
117645,2781,31
117672,66,30
117672,2,31
117690,2509,30
117690,515,31
117706,5314,30
117706,1341,31
117715,1504,30
117715,259,31
117724,3373,30
117724,574,31
117733,4069,30
117733,835,31
117751,953,30
117751,172,31
117788,4017,30
117788,540,31
117803,,30
117867,2314,30
117867,587,31
117894,2892,30
117894,784,31
117928,456,30
117928,52,31
117946,5987,30
117946,1328,31
117955,201,30
117955,64,31
118134,38,30
118134,5,31
118143,42,30
118143,5,31
118161,139,30
118161,21,31
118189,106,30
118189,76,31
118198,798,30
118198,196,31
118259,224,30
118259,80,31
118277,652,30
118277,105,31
118286,395,30
118286,117,31
118347,1288,30
118347,336,31
118541,882,30
118541,219,31
118684,1095,30
118684,194,31
118693,760,30
118693,157,31
118718,4433,30
118718,1194,31
118772,1016,30
118772,260,31
118888,773,30
118888,169,31
118912,5138,30
118912,1312,31
118930,1716,30
118930,348,31
118958,42,30
118958,12,31
118967,485,30
118967,47,31
118976,5759,30
118976,1463,31
118994,169,30
119058,18,30
119067,2374,30
119067,632,31
119137,5666,30
119137,1605,31
119164,9984,30
119164,2691,31
119173,2145,30
119173,542,31
119216,5687,30
119216,1619,31
119270,789,30
119270,219,31
119331,2165,30
119331,589,31
119553,869,30
119553,147,31
119605,3007,30
119605,23,31
119775,388,30
119775,36,31
119845,104,30
119845,28,31
119951,339,30
119951,187,31
120069,218,30
120069,121,31
120078,315,30
120078,156,31
120087,192,30
120087,126,31
120184,740,30
120184,156,31
120254,1943,30
120254,502,31
120272,37,30
120272,3,31
120290,3365,30
120290,838,31
120342,8450,30
120342,2454,31
120403,1001,30
120403,203,31
120421,1855,30
120421,539,31
120537,726,30
120537,104,31
120661,634,30
120661,189,31
120698,147,30
120768,2,30
120838,12,30
120838,2,31
120865,1280,30
120865,251,31
120883,3375,30
120883,723,31
120953,644,30
120953,63,31
120971,7171,30
120971,2010,31
121044,10401,30
121044,3255,31
121150,3220,30
121150,743,31
121257,1029,30
121257,268,31
121275,202,30
121275,51,31
121309,2534,30
121309,594,31
121345,1547,30
121345,411,31
121363,1664,30
121363,495,31
121433,82,30
121433,24,31
121619,5069,30
121619,1697,31
121637,66,30
121637,5,31
121691,2491,30
121691,585,31
121707,1782,30
121707,396,31
121859,138,30
121859,36,31
121868,79,30
121868,26,31
121886,3877,30
121886,1008,31
121901,5256,30
121901,1674,31
121983,39,30
121983,3,31
121992,177,30
121992,175,31
122117,23,30
122180,5328,30
122180,1260,31
122205,5785,30
122205,1583,31
122296,521,30
122339,3328,30
122339,1034,31
122366,108,30
122366,4,31
122375,5707,30
122375,1395,31
122384,2376,30
122384,804,31
122409,26530,30
122409,4812,31
122436,5433,30
122436,1133,31
122454,309,30
122454,61,31
122506,186,30
122506,54,31
122597,21273,30
122597,3531,31
122612,6413,30
122612,1584,31
122658,6351,30
122658,1744,31
122685,5553,30
122685,877,31
122728,995,30
122728,199,31
122746,1854,30
122746,452,31
122755,21569,30
122755,3065,31
122791,2431,30
122791,856,31
122834,422,30
122834,39,31
122852,104,30
122852,9,31
122889,6265,30
122889,1494,31
122931,5333,30
122931,1316,31
122977,11084,30
122977,3625,31
123013,6431,30
123013,1280,31
123165,1026,30
123165,270,31
123217,4941,30
123217,1696,31
123280,24,30
123280,6,31
123299,3351,30
123299,569,31
123341,6331,30
123341,1745,31
123350,105,30
123350,9,31
123457,741,30
123457,117,31
123484,728,30
123484,213,31
123493,307,30
123493,242,31
123509,2469,30
123509,505,31
123527,3812,30
123527,954,31
123554,2590,30
123554,562,31
123563,2946,30
123563,763,31
123572,7793,30
123572,1774,31
123633,261,30
123642,248,30
123642,20,31
123651,1447,30
123651,408,31
123679,547,30
123679,132,31
123800,7107,30
123800,2009,31
123952,245,30
123952,21,31
123961,18070,30
123961,3066,31
124113,1164,30
124113,352,31
124292,386,30
124292,87,31
124487,41,30
124487,1,31
124681,598,30
124681,153,31
124706,679,30
124706,191,31
124779,12,30
124779,4,31
124937,681,30
124937,165,31
125028,4262,30
125028,1223,31
125091,3888,30
125091,1171,31
125170,1381,30
125170,476,31
125231,661,30
125231,,31
125310,24,30
125310,6,31
125462,959,30
125462,349,31
125471,2825,30
125471,509,31
125499,2546,30
125499,800,31
125532,935,30
125532,36,31
125727,1275,30
125727,343,31
125763,1577,30
125763,424,31
125897,969,30
125897,135,31
126076,151,30
126076,50,31
126119,2234,30
126119,576,31
126164,13,30
126164,8,31
126182,1623,30
126182,448,31
126207,1802,30
126207,363,31
126289,1642,30
126289,405,31
126359,381,30
126359,49,31
126401,101,30
126401,18,31
126562,8469,30
126562,1368,31
126580,7932,30
126580,1961,31
126605,478,30
126605,14,31
126614,25692,30
126614,6378,31
126669,1734,30
126669,407,31
126678,2084,30
126678,533,31
126687,521,30
126687,134,31
126702,550,30
126702,60,31
126711,1599,30
126711,349,31
126748,477,30
126748,149,31
126775,4359,30
126775,974,31
126784,170,30
126784,77,31
126818,21211,30
126818,4851,31
126827,13319,30
126827,1084,31
126863,1304,30
126863,309,31
126872,201,30
126872,11,31
126915,125,30
126915,38,31
126942,2346,30
126942,430,31
126951,1033,30
126951,150,31
127060,5478,30
127060,1377,31
127158,896,30
127158,76,31
127185,3138,30
127185,767,31
127200,4939,30
127200,1033,31
127219,31,30
127219,15,31
127228,117,30
127228,28,31
127316,123,30
127316,24,31
127389,357,30
127389,192,31
127556,7252,30
127556,1906,31
127565,12352,30
127565,1920,31
127617,260,30
127617,95,31
127653,346,30
127653,29,31
127680,48,30
127680,,31
127714,89,30
127714,3,31
127732,899,30
127732,431,31
127741,8242,30
127741,2146,31
127778,548,30
127778,232,31
127787,107,30
127787,16,31
127820,4468,30
127820,1055,31
127839,269,30
127839,50,31
127884,1587,30
127884,266,31
127909,2327,30
127909,521,31
127918,2359,30
127918,486,31
127945,607,30
127945,44,31
127954,19,30
127954,6,31
128106,3391,30
128106,816,31
128151,1122,30
128151,124,31
128179,742,30
128179,64,31
128188,942,30
128188,93,31
128258,709,30
128258,240,31
128328,4237,30
128328,1115,31
128337,68,30
128337,32,31
128391,1900,30
128391,464,31
128498,1034,30
128498,129,31
128540,80,30
128540,18,31
128577,652,30
128577,222,31
128586,33,30
128586,14,31
128674,246,30
128674,65,31
128683,304,30
128683,63,31
128726,133,30
128726,64,31
128744,2140,30
128744,482,31
128771,7529,30
128771,1258,31
128780,312,30
128780,1,31
128896,67,30
128896,23,31
128902,1818,30
128902,472,31
129002,122,30
129002,52,31
129020,18538,30
129020,3808,31
129154,490,30
129154,61,31
129181,620,30
129181,152,31
129215,4291,30
129215,995,31
129242,3802,30
129242,1056,31
129349,122,30
129349,26,31
129367,688,30
129367,201,31
129482,415,30
129482,51,31
129525,4506,30
129525,1296,31
129534,56,30
129534,1,31
129543,1765,30
129543,685,31
129695,2006,30
129695,579,31
129729,2219,30
129729,819,31
129756,951,30
129756,328,31
129774,537,30
129774,119,31
129808,1364,30
129808,459,31
129923,313,30
129923,90,31
129932,236,30
129932,210,31
129941,4551,30
129941,1117,31
129969,156,30
129969,50,31
130004,1819,30
130004,607,31
130040,418,30
130040,165,31
130110,67,30
130110,7,31
130174,1309,30
130174,236,31
130183,2487,30
130183,422,31
130217,516,30
130217,183,31
130226,6784,30
130226,1904,31
130253,4793,30
130253,1322,31
130314,723,30
130314,125,31
130396,2047,30
130396,639,31
130448,65,30
130448,8,31
130493,6830,30
130493,1387,31
130509,298,30
130509,110,31
130590,2132,30
130590,572,31
130606,1418,30
130606,479,31
130624,986,30
130624,298,31
130697,2912,30
130697,774,31
130776,4116,30
130776,824,31
130794,5468,30
130794,1367,31
130837,53,30
130873,111,30
130873,50,31
130907,5158,30
130907,2094,31
130934,3486,30
130934,941,31
130943,17736,30
130943,4370,31
130989,575,30
130989,158,31
131061,99,30
131061,52,31
131098,1305,30
131098,353,31
131113,3422,30
