"INSTNM","STABBR","ZIP","LOCALE","OBEREG","GBA6RTT","GBA6RTM","GBA6RTW"
"Rabbinical College of Long Island","NY","11561",21,2,39,39,
"Rabbinical Seminary of America","NY","11367",11,2,25,25,
"Rensselaer Polytechnic Institute","NY","12180-3590",13,2,84,82,88
"Roberts Wesleyan College","NY","14624",21,2,64,59,65
"Rochester Institute of Technology","NY","14623-5603",21,2,71,68,78
"University of Rochester","NY","14627-0011",12,2,86,83,89
"Russell Sage College","NY","12180",13,2,63,57,64
"St Bonaventure University","NY","14778-9800",33,2,71,68,75
"St. Francis College","NY","11201-4305",11,2,50,47,53
"St Lawrence University","NY","13617",33,2,82,78,85
"The College of Saint Rose","NY","12203-1490",13,2,59,52,62
"St. Thomas Aquinas College","NY","10976-1050",21,2,55,47,64
"Sarah Lawrence College","NY","10708",21,2,76,77,76
"Sh'or Yoshuv Rabbinical College","NY","11559-1714",21,2,0,0,
"Siena College","NY","12211-1462",21,2,77,76,78
"Skidmore College","NY","12866",23,2,84,84,83
"St. Joseph's University-New York","NY","11205-3688",11,2,71,68,72
"Saint John Fisher College","NY","14618-3597",21,2,73,69,76
"St. John's University-New York","NY","11439",11,2,68,64,71
"SUNY College of Technology at Alfred","NY","14802",33,2,43,40,51
"SUNY College of Technology at Canton","NY","13617-1098",33,2,44,40,48
"SUNY College of Technology at Delhi","NY","13753-1100",33,2,49,42,61
"SUNY College of Agriculture and Technology at Cobleskill","NY","12043",32,2,47,39,53
"Farmingdale State College","NY","11735-1021",21,2,52,50,56
"SUNY Morrisville","NY","13408",42,2,34,34,34
"SUNY at Albany","NY","12222",13,2,66,62,71
"Binghamton University","NY","13850-6000",22,2,84,81,87
"University at Buffalo","NY","14260-1660",21,2,74,69,81
"Stony Brook University","NY","11794-0701",21,2,78,75,81
"SUNY College of Environmental Science and Forestry","NY","13210",12,2,75,75,75
"SUNY Polytechnic Institute","NY","13502",22,2,65,63,72
"SUNY Brockport","NY","14420-2919",31,2,63,59,66
"SUNY Buffalo State","NY","14222",11,2,41,36,45
"SUNY Cortland","NY","13045-0900",32,2,65,56,72
"SUNY at Fredonia","NY","14063-1136",32,2,62,54,67
"SUNY College at Geneseo","NY","14454-1465",32,2,76,70,80
"State University of New York at New Paltz","NY","12561-2443",21,2,73,68,76
"SUNY Oneonta","NY","13820-4015",33,2,74,66,78
"SUNY College at Oswego","NY","13126",32,2,66,63,70
"SUNY College at Potsdam","NY","13676-2294",33,2,50,45,53
"SUNY at Purchase College","NY","10577-1400",21,2,63,58,67
"SUNY College at Old Westbury","NY","11568-0210",21,2,48,34,58
"SUNY College at Plattsburgh","NY","12901-2681",32,2,65,58,69
"SUNY Empire State College","NY","12866-4391",23,2,18,22,15
"SUNY Maritime College","NY","10465-4198",11,2,74,74,76
"Syracuse University","NY","13244",12,2,82,78,87
"Talmudical Seminary Oholei Torah","NY","11213",11,2,5,5,
"Torah Temimah Talmudical Seminary","NY","10312",11,2,10,10,
"Touro College","NY","10036",11,2,70,64,72
"Trocaire College","NY","14220-2094",11,2,,,
"Union College","NY","12308-2311",13,2,85,84,85
"United Talmudical Seminary","NY","11211",11,2,51,51,
"United States Merchant Marine Academy","NY","11024-1634",21,0,81,82,78
"United States Military Academy","NY","10996-1905",31,0,84,83,84
"Utica University","NY","13502-4892",13,2,60,51,68
"Vassar College","NY","12604",21,2,93,92,93
"Villa Maria College","NY","14225-3999",13,2,35,34,35
"School of Visual Arts","NY","10010",11,2,74,65,77
"Wagner College","NY","10301-4495",11,2,70,57,77
"Webb Institute","NY","11542-1398",21,2,77,74,86
"Wells College","NY","13026-0500",42,2,55,53,56
"The College of Westchester","NY","10606-1200",13,2,44,40,50
"Yeshiva Karlin Stolin","NY","11204-1545",11,2,50,50,
"Yeshiva Derech Chaim","NY","11218-0000",11,2,18,18,
"Yeshiva of Nitra Rabbinical College","NY","10918",41,2,21,21,
"Yeshiva Shaar Hatorah","NY","11418",11,2,52,52,
"Yeshiva University","NY","10033-3299",11,2,80,74,87
"Yeshivath Viznitz","NY","10952",21,2,71,71,
"Yeshivath Zichron Moshe","NY","12779",32,2,0,0,
"Appalachian State University","NC","28608",32,5,73,69,76
"Barton College","NC","27893-7000",31,5,52,49,53
"Belmont Abbey College","NC","28012-1802",22,5,46,41,52
"Bennett College","NC","27401-3239",11,5,22,,22
"Brevard College","NC","28712",31,5,33,27,39
"Cabarrus College of Health Sciences","NC","28025-3959",12,5,,,
"Campbell University","NC","27506",31,5,55,53,57
"Catawba College","NC","28144",22,5,60,57,62
"Chowan University","NC","27855",32,5,29,21,35
"Davidson College","NC","28035",21,5,90,87,93
"Duke University","NC","27708",11,5,96,94,97
"East Carolina University","NC","27858-4353",13,5,66,60,70
"Elizabeth City State University","NC","27909",32,5,40,36,43
