"INSTNM","STABBR","ZIP","OBEREG","GBA6RTT","GBA6RTM","GBA6RTW"
"Delta State University","MS","38733",5,44,42,46
"Jackson State University","MS","39217",5,39,36,41
"Millsaps College","MS","39210-0001",5,62,59,64
"University of Mississippi","MS","38677-1848",5,68,63,72
"Mississippi University for Women","MS","39701",5,45,25,52
"Mississippi Valley State University","MS","38941-1400",5,27,20,34
"Mississippi College","MS","39058",5,63,52,69
"Mississippi State University","MS","39762",5,60,58,61
"Rust College","MS","38635",5,23,20,26
"Southeastern Baptist College","MS","39440-9989",5,,,
"University of Southern Mississippi","MS","39406-0001",5,52,47,54
"Tougaloo College","MS","39174",5,34,21,41
"William Carey University","MS","39401",5,60,51,66
"Avila University","MO","64145-1698",4,39,32,46
"Baptist Bible College","MO","65803-3498",4,31,28,33
"Cox College","MO","65802-1917",4,0,,0
"Calvary University","MO","64147-1341",4,37,33,40
"Central Christian College of the Bible","MO","65270-1997",4,52,56,47
"Central Methodist University-College of Liberal Arts and Sciences","MO","65248-1198",4,47,40,54
"University of Central Missouri","MO","64093",4,53,46,57
"Cleveland University-Kansas City","KS","66210",4,67,0,100
"Columbia College","MO","65216",4,27,26,28
"Conception Seminary College","MO","64433-0502",4,0,0,
"Cottey College","MO","64772",4,74,,74
"Culver-Stockton College","MO","63435-1299",4,49,36,62
"Drury University","MO","65802-3791",4,60,51,67
"Evangel University","MO","65802-2125",4,57,56,59
"Fontbonne University","MO","63105-3098",4,61,53,67
"Hannibal-LaGrange University","MO","63401",4,36,34,38
"Harris-Stowe State University","MO","63103-2136",4,19,22,17
"Kansas City Art Institute","MO","64111-1874",4,62,57,64
"Kenrick Glennon Seminary","MO","63119-4399",4,69,69,
"Lincoln University","MO","65101",4,27,19,33
"Lindenwood University","MO","63301-1695",4,53,48,58
"Maryville University of Saint Louis","MO","63141-7299",4,73,68,76
"Midwestern Baptist Theological Seminary","MO","64118-4697",4,33,30,38
"Missouri Baptist University","MO","63141-8698",4,41,29,60
"Missouri Southern State University","MO","64801-1595",4,36,29,42
"Missouri Valley College","MO","65340",4,24,19,33
"Missouri Western State University","MO","64507",4,37,37,37
"University of Missouri-Columbia","MO","65211",4,73,69,76
"University of Missouri-Kansas City","MO","64110",4,55,54,56
"Missouri University of Science and Technology","MO","65409",4,63,60,73
"University of Missouri-St Louis","MO","63121-4400",4,58,54,60
"Truman State University","MO","63501-4221",4,72,68,75
"Northwest Missouri State University","MO","64468-6001",4,51,47,54
"Ozark Christian College","MO","64801",4,59,73,46
"College of the Ozarks","MO","65726-0017",4,63,61,63
"Park University","MO","64152-3795",4,25,31,22
"Stevens-The Institute of Business & Arts","MO","63103",4,100,,100
"Ranken Technical College","MO","63113-2811",4,73,70,100
"Rockhurst University","MO","64110-2561",4,74,67,79
"Saint Louis University","MO","63103-2097",4,80,76,82
"Saint Louis Christian College","MO","63033",4,40,44,0
"University of Health Sciences and Pharmacy in St. Louis","MO","63110-1088",4,77,81,74
"Southwest Baptist University","MO","65613-2596",4,50,43,55
"Stephens College","MO","65215",4,53,,53
"Southeast Missouri State University","MO","63701",4,54,48,58
"Missouri State University-Springfield","MO","65897",4,59,54,62
"Washington University in St Louis","MO","63130-4899",4,93,91,95
"Webster University","MO","63119-3194",4,57,49,63
"Westminster College","MO","65251-1299",4,52,48,57
"William Jewell College","MO","64068-1896",4,65,60,71
"William Woods University","MO","65251-2388",4,55,55,55
"Carroll College","MT","59625-0002",7,67,69,66
"Montana State University Billings","MT","59101-0298",7,25,22,27
"Aaniiih Nakoda College","MT","59526",7,,,
"University of Providence","MT","59405-4996",7,37,39,36
"Montana Technological University","MT","59701-8997",7,57,54,68
"Montana State University","MT","59717",7,54,49,60
"The University of Montana","MT","59812",7,49,43,53
"Montana State University-Northern","MT","59501",7,35,34,39
"Rocky Mountain College","MT","59102-1796",7,52,49,54
"Salish Kootenai College","MT","59855",7,33,35,32
"The University of Montana-Western","MT","59725-3598",7,39,36,40
"Bellevue University","NE","68005-3098",4,23,15,31
"Clarkson College","NE","68131-2739",4,68,0,71
"Bryan College of Health Sciences","NE","68506",4,70,50,72
"Chadron State College","NE","69337-2690",4,39,34,43
"Concordia University-Nebraska","NE","68434-1556",4,58,46,70
"Creighton University","NE","68178",4,78,78,79
"Doane University","NE","68333",4,59,57,61
"Hastings College","NE","68901",4,49,41,60
"University of Nebraska at Kearney","NE","68849-1212",4,57,48,63
"Nebraska Methodist College of Nursing & Allied Health","NE","68114-2852",4,73,0,76
"Midland University","NE","68025",4,45,39,54
"University of Nebraska at Omaha","NE","68182-0225",4,52,48,56
"Nebraska Wesleyan University","NE","68504-2794",4,66,59,72
"University of Nebraska-Lincoln","NE","68588-0419",4,66,63,71
"Peru State College","NE","68421-0010",4,39,29,49
"Summit Christian College","NE","69341",4,100,100,
"College of Saint Mary","NE","68106",4,58,,58
"Union College","NE","68506",4,58,58,57
"Wayne State College","NE","68787",4,50,47,52
"York College","NE","68467-2699",4,34,31,42
"College of Southern Nevada","NV","89146-1164",8,,,
"Las Vegas College","NV","89113",8,,,
"University of Nevada-Las Vegas","NV","89154",8,47,43,50
"University of Nevada-Reno","NV","89557",8,63,60,65
"Great Basin College","NV","89801",8,4,8,0
"Sierra Nevada University","NV","89451",8,34,33,36
"Truckee Meadows Community College","NV","89512-3999",8,,,
"Western Nevada College","NV","89703-7399",8,,,
"Colby-Sawyer College","NH","03257-7835",1,61,55,64
"Dartmouth College","NH","03755-3529",1,94,92,97
"Franklin Pierce University","NH","03461-0060",1,41,36,46
"Magdalen College","NH","03278-4012",1,59,58,59
"New England College","NH","03242",1,27,22,31
"Southern New Hampshire University","NH","03106-1045",1,37,35,38
"University of New Hampshire-Main Campus","NH","03824-3547",1,78,76,80
"Keene State College","NH","03435-1506",1,60,61,59
"University of New Hampshire at Manchester","NH","03101-1113",1,64,44,77
"Plymouth State University","NH","03264-1595",1,53,50,56
"Rivier University","NH","03060",1,60,59,60
"Saint Anselm College","NH","03102-1310",1,77,69,83
"Granite State College","NH","03301-3471",1,15,8,20
"Thomas More College of Liberal Arts","NH","03054",1,90,100,83
"Berkeley College-Woodland Park","NJ","07424",2,37,35,38
"Bloomfield College","NJ","07003",2,38,26,44
"Caldwell University","NJ","07006-6195",2,59,58,60
"Centenary University","NJ","07840",2,68,68,69
"Drew University","NJ","07940",2,74,72,75
"Fairleigh Dickinson University-Metropolitan Campus","NJ","07666",2,53,51,55
"Felician University","NJ","07644",2,52,38,57
"Fairleigh Dickinson University-Florham Campus","NJ","07940",2,62,59,64
"Georgian Court University","NJ","08701-2697",2,58,48,63
"Rowan University","NJ","08028",2,69,65,74
"Eastwick College-Ramsey","NJ","07446-2551",2,100,,100
"New Jersey City University","NJ","07305",2,39,32,45
"Kean University","NJ","07083",2,48,43,52
"Monmouth University","NJ","07764-1898",2,69,68,70
"Montclair State University","NJ","07043-1624",2,67,63,70
"New Jersey Institute of Technology","NJ","07102",2,74,71,84
"Princeton University","NJ","08544-0070",2,98,97,99
"Rabbinical College of America","NJ","07960-3600",2,12,12,
"Ramapo College of New Jersey","NJ","07430-1680",2,72,69,74
"Rider University","NJ","08648-3099",2,61,56,65
"Rutgers University-Camden","NJ","08102",2,71,63,77
"Rutgers University-New Brunswick","NJ","08901-1281",2,84,80,87
"Rutgers University-Newark","NJ","07102",2,65,57,72
"Saint Peter's University","NJ","07306-5997",2,58,50,64
"Seton Hall University","NJ","07079-2697",2,72,64,79
"Saint Elizabeth University","NJ","07960",2,39,,39
"Stevens Institute of Technology","NJ","07030-5991",2,87,87,88
"Stockton University","NJ","08205-9441",2,76,71,79
"Talmudical Academy-New Jersey","NJ","07710",2,6,6,
"The College of New Jersey","NJ","08628-7718",2,87,84,89
"William Paterson University of New Jersey","NJ","07470",2,55,49,61
"Navajo Technical University","NM","87313-0849",6,24,9,50
"Eastern New Mexico University-Main Campus","NM","88130",6,34,30,37
"Institute of American Indian and Alaska Native Culture and Arts Development","NM","87508-1300",6,29,10,43
"New Mexico Highlands University","NM","87701",6,27,18,35
"New Mexico Institute of Mining and Technology","NM","87801",6,55,51,68
"University of New Mexico-Main Campus","NM","87106",6,53,49,57
"New Mexico State University-Main Campus","NM","88003-8001",6,50,48,53
"Northern New Mexico College","NM","87532",6,20,13,33
"University of the Southwest","NM","88240",6,9,8,10
"Western New Mexico University","NM","88061",6,24,19,30
"Vaughn College of Aeronautics and Technology","NY","11369",2,45,45,50
"Adelphi University","NY","11530-0701",2,71,71,71
"Bryant & Stratton College-Albany","NY","12205",2,100,,100
"Albany College of Pharmacy and Health Sciences","NY","12208-3492",2,58,50,63
"Alfred University","NY","14802-1205",2,60,54,66
"American Musical and Dramatic Academy","NY","10023",2,67,60,71
