"INSTNM","STABBR","ZIP","OBEREG","GBA6RTT","GBA6RTM","GBA6RTW"
"University of Akron Main Campus","OH","44325-4702",3,49,48,50
"Allegheny Wesleyan College","OH","44460-9598",3,42,33,44
"Art Academy of Cincinnati","OH","45202-1706",3,38,31,40
"Ashland University","OH","44805",3,68,61,73
"Aultman College of Nursing and Health Sciences","OH","44710-1797",3,,,
"Baldwin Wallace University","OH","44017-2088",3,66,61,72
"Bluffton University","OH","45817-2104",3,53,48,58
"Bowling Green State University-Firelands","OH","44839-9791",3,,,
"Bowling Green State University-Main Campus","OH","43403",3,61,57,63
"Bryant & Stratton College-Parma","OH","44130-3151",3,0,0,0
"Capital University","OH","43209-2394",3,62,58,64
"Case Western Reserve University","OH","44106",3,84,79,91
"Cedarville University","OH","45314-0601",3,73,72,75
"Central State University","OH","45384-1004",3,23,18,28
"The Christ College of Nursing and Health Sciences","OH","45219-2989",3,47,50,47
"University of Cincinnati-Main Campus","OH","45221-0063",3,72,70,75
"Cincinnati State Technical and Community College","OH","45223-2690",3,,,
"University of Cincinnati-Clermont College","OH","45103",3,,,
"University of Cincinnati-Blue Ash College","OH","45236-1096",3,,,
"Ohio Christian University","OH","43113-9487",3,42,33,49
"Clark State College","OH","45501-0570",3,,,
"Cleveland Institute of Art","OH","44106-1710",3,56,51,59
"Cleveland Institute of Music","OH","44106-1776",3,71,60,84
"Cleveland State University","OH","44115-2214",3,51,49,52
"Columbus College of Art and Design","OH","43215",3,60,51,63
"University of Dayton","OH","45469",3,80,78,82
"Defiance College","OH","43512",3,50,44,59
"Denison University","OH","43023",3,81,79,83
"The University of Findlay","OH","45840-3653",3,62,60,63
"Franklin University","OH","43215-5399",3,25,20,35
"Gods Bible School and College","OH","45202-6838",3,60,43,69
"Good Samaritan College of Nursing and Health Science","OH","45220-2489",3,,,
"Heidelberg University","OH","44883-2462",3,57,48,71
"Hiram College","OH","44234-0067",3,53,42,67
"John Carroll University","OH","44118-4538",3,76,69,82
"Kent State University at Ashtabula","OH","44004",3,7,6,8
"Kent State University at East Liverpool","OH","43920",3,5,8,3
"Kent State University at Stark","OH","44720-7599",3,18,15,20
"Kent State University at Trumbull","OH","44483",3,13,7,16
"Kent State University at Tuscarawas","OH","44663-9403",3,15,14,16
"Kent State University at Salem","OH","44460",3,19,10,24
"Kent State University at Kent","OH","44242-0001",3,67,60,71
"Kent State University at Geauga","OH","44021",3,8,6,10
"Kenyon College","OH","43022",3,87,86,88
"Kettering College","OH","45429-1299",3,45,33,48
"Lake Erie College","OH","44077-3389",3,45,36,57
"Lorain County Community College","OH","44035-1691",3,,,
"Lourdes University","OH","43560-2898",3,58,53,60
"Malone University","OH","44709-3308",3,60,52,65
"Marietta College","OH","45750",3,51,47,59
"Mercy College of Ohio","OH","43604-1132",3,58,50,59
"Miami University-Hamilton","OH","45011",3,17,17,17
"Miami University-Middletown","OH","45042",3,18,13,24
"Miami University-Oxford","OH","45056",3,83,79,87
"Mount Carmel College of Nursing","OH","43222-1504",3,81,67,81
"University of Mount Union","OH","44601-3929",3,68,58,80
"Mount Vernon Nazarene University","OH","43050-9500",3,59,54,62
"Mount Saint Joseph University","OH","45233-1670",3,53,42,67
"Zane State College","OH","43701-2626",3,,,
"Muskingum University","OH","43762",3,51,44,60
"North Central State College","OH","44901-0698",3,,,
"Notre Dame College","OH","44121-4293",3,38,34,45
"University of Northwestern Ohio","OH","45805",3,39,37,42
"Oberlin College","OH","44074",3,82,80,84
"Ohio Dominican University","OH","43219",3,54,48,60
"Ohio Northern University","OH","45810-1599",3,72,68,81
"Ohio State University-Lima Campus","OH","45804",3,14,10,18
"Ohio State University-Mansfield Campus","OH","44906",3,7,3,11
"Ohio State University-Marion Campus","OH","43302-5695",3,10,3,18
"Ohio State University-Newark Campus","OH","43055",3,6,3,9
"Ohio State University-Main Campus","OH","43210",3,88,86,90
"Ohio University-Eastern Campus","OH","43950",3,16,16,16
"Ohio University-Chillicothe Campus","OH","45601-0629",3,14,14,14
"Ohio University-Southern Campus","OH","45638",3,15,15,15
"Ohio University-Lancaster Campus","OH","43130-1037",3,11,10,13
"Ohio University-Main Campus","OH","45701-2979",3,67,62,71
"Ohio University-Zanesville Campus","OH","43701",3,18,11,22
"Ohio Wesleyan University","OH","43015-2370",3,64,57,72
"Otterbein University","OH","43081",3,69,60,75
"Pontifical College Josephinum","OH","43235-1499",3,19,19,
"Rabbinical College Telshe","OH","44092",3,63,63,
"University of Rio Grande","OH","45674",3,25,18,30
"The Modern College of Design","OH","45440",3,,,
"Shawnee State University","OH","45662",3,49,44,54
"Sinclair Community College","OH","45402-1460",3,,,
"Franciscan University of Steubenville","OH","43952-1763",3,72,66,76
"Tiffin University","OH","44883",3,45,42,48
"University of Toledo","OH","43606-3390",3,56,53,59
"Union Institute & University","OH","45206",3,33,100,20
"Ursuline College","OH","44124",3,49,50,49
"The North Coast College","OH","44107",3,,,
"Walsh University","OH","44720-3396",3,69,61,73
"Wilberforce University","OH","45384-1001",3,18,15,21
"Wilmington College","OH","45177",3,53,49,57
"Wittenberg University","OH","45504",3,64,59,69
"The College of Wooster","OH","44691",3,77,69,84
"Wright State University-Main Campus","OH","45435-0001",3,44,43,45
"Wright State University-Lake Campus","OH","45822-2952",3,33,30,35
"Xavier University","OH","45207-1092",3,75,70,79
"Youngstown State University","OH","44555-0001",3,47,44,50
"Bacone College","OK","74403-1597",6,7,5,14
"Oklahoma Wesleyan University","OK","74006-6299",6,33,23,49
"Southern Nazarene University","OK","73008",6,48,44,53
"Cameron University","OK","73505-6377",6,33,33,33
"University of Central Oklahoma","OK","73034",6,37,28,42
"East Central University","OK","74820-6999",6,31,24,38
"Randall University","OK","73160",6,17,9,28
"Langston University","OK","73050",6,29,20,34
"Spartan College of Aeronautics and Technology","OK","74115",6,100,100,
"Northeastern State University","OK","74464-2399",6,39,33,44
"Northwestern Oklahoma State University","OK","73717-2799",6,30,25,36
"Oklahoma Christian University","OK","73013",6,56,54,59
"Oklahoma Panhandle State University","OK","73939-0430",6,37,32,46
"Oklahoma State University-Main Campus","OK","74078-1015",6,66,62,69
"Oklahoma State University-Oklahoma City","OK","73107-6195",6,,,
"Oklahoma Baptist University","OK","74804",6,54,46,58
"Oklahoma City University","OK","73106-1402",6,65,59,68
"University of Oklahoma-Norman Campus","OK","73019-3072",6,76,72,79
"Oklahoma State University Institute of Technology","OK","74447-3901",6,,,
"Oral Roberts University","OK","74171",6,59,52,65
"Rogers State University","OK","74017-3252",6,34,26,40
"University of Science and Arts of Oklahoma","OK","73018-5322",6,39,20,47
"Southeastern Oklahoma State University","OK","74701-3347",6,30,28,32
"Southwestern Christian University","OK","73008",6,21,19,25
"Southwestern Oklahoma State University","OK","73096-3001",6,40,36,44
"University of Tulsa","OK","74104-3189",6,73,70,79
"Sumner College","OR","97220",8,,,
"Eastern Oregon University","OR","97850",8,38,35,41
"New Hope Christian College-Eugene","OR","97405",8,33,27,38
"George Fox University","OR","97132",8,69,65,73
"Lewis & Clark College","OR","97219-7899",8,74,72,75
"Linfield University-McMinnville Campus","OR","97128-6894",8,67,60,72
"Mount Angel Seminary","OR","97373",8,54,54,
"Multnomah University","OR","97220",8,55,54,57
"Bushnell University","OR","97401-3745",8,60,60,60
"Oregon Institute of Technology","OR","97601-8801",8,56,55,56
"Oregon State University","OR","97331",8,68,65,72
"University of Oregon","OR","97403",8,74,73,75
"Pacific Northwest College of Art","OR","97209-3404",8,36,33,36
"Pacific University","OR","97116",8,71,64,76
"Portland State University","OR","97201",8,54,48,57
"University of Portland","OR","97203-5798",8,81,77,83
"Reed College","OR","97202-8199",8,73,67,77
"Southern Oregon University","OR","97520",8,41,36,44
"Warner Pacific University","OR","97215",8,34,15,43
"Corban University","OR","97317-9392",8,64,55,68
"Willamette University","OR","97301",8,72,70,73
"Western Oregon University","OR","97361-1394",8,48,41,52
"Bryn Athyn College of the New Church","PA","19009-0717",2,39,38,39
"Albright College","PA","19612-5234",2,47,43,51
"Allegheny College","PA","16335-3902",2,75,70,79
"DeSales University","PA","18034-9568",2,69,68,70
"Alvernia University","PA","19607-1799",2,65,55,71
"Clarks Summit University","PA","18411-1250",2,43,38,48
"Arcadia University","PA","19038-3295",2,62,64,61
"Bloomsburg University of Pennsylvania","PA","17815",2,59,54,63
"Bryn Mawr College","PA","19010",2,87,,87
"Bucknell University","PA","17837",2,88,86,90
"Cabrini University","PA","19087-3698",2,52,53,52
"California University of Pennsylvania","PA","15419-1394",2,48,43,52
"Carlow University","PA","15213-3165",2,52,56,52
"Carnegie Mellon University","PA","15213-3890",2,93,91,95
"Cedar Crest College","PA","18104-6196",2,64,,64
"Central Penn College","PA","17093-0309",2,36,28,43
"Chatham University","PA","15232",2,63,48,68
"Chestnut Hill College","PA","19118-2693",2,63,53,70
"Cheyney University of Pennsylvania","PA","19319-0200",2,41,40,42
"Clarion University of Pennsylvania","PA","16214",2,58,49,62
"Curtis Institute of Music","PA","19103",2,89,89,90
"Delaware Valley University","PA","18901-2697",2,54,45,61
"Dickinson College","PA","17013-2896",2,82,79,85
"Drexel University","PA","19104",2,78,74,83
"Duquesne University","PA","15282",2,77,71,80
"East Stroudsburg University of Pennsylvania","PA","18301-2999",2,49,38,56
"Eastern University","PA","19087-3696",2,62,60,64
"Edinboro University of Pennsylvania","PA","16444-0001",2,50,46,53
"Elizabethtown College","PA","17022-2298",2,75,72,78
"Franklin and Marshall College","PA","17604-3003",2,83,80,85
"Gannon University","PA","16541-0001",2,65,58,70
"Geneva College","PA","15010-3599",2,70,67,74
"Gettysburg College","PA","17325",2,82,77,87
"Grove City College","PA","16127-2104",2,88,84,91
"Gwynedd Mercy University","PA","19437-0901",2,67,58,72
"Haverford College","PA","19041-1392",2,90,91,90
"Holy Family University","PA","19114-2009",2,56,50,58
"Hussian College-Philadelphia","PA","19130",2,74,88,64
"Immaculata University","PA","19345",2,69,63,72
"Indiana University of Pennsylvania-Main Campus","PA","15705-1098",2,57,50,61
"Juniata College","PA","16652-2196",2,76,74,77
"Keystone College","PA","18440-0200",2,45,53,41
"King's College","PA","18711-0801",2,67,61,74
"Kutztown University of Pennsylvania","PA","19530-0730",2,54,49,58
"La Roche University","PA","15237-5898",2,53,48,56
"La Salle University","PA","19141-1199",2,60,57,62
"Lackawanna College","PA","18509-3206",2,,,
"Lafayette College","PA","18042-1768",2,88,87,89
"Lancaster Bible College","PA","17601-5036",2,57,52,61
"Lebanon Valley College","PA","17003-1400",2,68,65,70
"Lehigh University","PA","18015",2,87,85,90
"Lincoln University","PA","19352-0999",2,49,43,52
"Lock Haven University","PA","17745-2390",2,54,48,59
"Lycoming College","PA","17701-5192",2,67,62,73
"Manor College","PA","19046-3399",2,,,
"Mansfield University of Pennsylvania","PA","16933",2,54,58,51
"Marywood University","PA","18509-1598",2,70,60,73
"Mercyhurst University","PA","16546",2,66,60,70
"Messiah University","PA","17055",2,77,78,76
"Millersville University of Pennsylvania","PA","17551-0302",2,57,53,59
"Misericordia University","PA","18612-1098",2,71,69,73
"Moore College of Art and Design","PA","19103-1179",2,57,,57
"Moravian University","PA","18018-6650",2,68,59,76
"Mount Aloysius College","PA","16630-1999",2,49,56,45
"Muhlenberg College","PA","18104",2,82,76,86
"Neumann University","PA","19014-1298",2,49,42,54
"Pennsylvania Institute of Technology","PA","19063-4098",2,,,
"Peirce College","PA","19102-4699",2,50,50,
"Pennsylvania Academy of the Fine Arts","PA","19102-1510",2,47,55,44
"Pennsylvania College of Art and Design","PA","17608-0059",2,58,54,60
"University of Pennsylvania","PA","19104-6303",2,96,95,98
"The University of the Arts","PA","19102-4901",2,68,67,68
"Cairn University-Langhorne","PA","19047-2990",2,61,57,65
"University of the Sciences","PA","19104-4495",2,77,77,78
"University of Pittsburgh-Bradford","PA","16701",2,38,41,36
"University of Pittsburgh-Greensburg","PA","15601-5860",2,34,29,40
"University of Pittsburgh-Johnstown","PA","15904",2,49,47,51
"University of Pittsburgh-Pittsburgh Campus","PA","15260",2,84,81,88
"Pittsburgh Technical College","PA","15071",2,,,
"Point Park University","PA","15222-1984",2,61,56,63
"Walnut Hill College","PA","19104",2,,,
"Robert Morris University","PA","15108-1189",2,65,61,69
"Rosemont College","PA","19010-1699",2,46,58,41
"Saint Francis University","PA","15940",2,74,64,81
"Saint Joseph's University","PA","19131-1395",2,83,82,84
"Saint Vincent College","PA","15650-2690",2,73,69,78
"University of Scranton","PA","18510-4699",2,79,74,82
"Seton Hill University","PA","15601",2,67,62,69
"Shippensburg University of Pennsylvania","PA","17257-2299",2,58,55,61
"Slippery Rock University of Pennsylvania","PA","16057-1383",2,68,65,71
"Saint Charles Borromeo Seminary-Overbrook","PA","19096",2,57,57,
"Susquehanna University","PA","17870-1025",2,74,68,80
"Swarthmore College","PA","19081",2,94,95,93
"Talmudical Yeshiva of Philadelphia","PA","19131",2,47,47,
"Temple University","PA","19122-6096",2,75,73,77
"Thiel College","PA","16125-2181",2,47,41,58
"Thomas Jefferson University","PA","19107",2,71,63,75
"Ursinus College","PA","19426-1000",2,72,67,78
"University of Valley Forge","PA","19460-2373",2,55,52,58
"Villanova University","PA","19085-1699",2,91,89,93
"Washington & Jefferson College","PA","15301",2,76,75,77
"Waynesburg University","PA","15370-1257",2,67,65,68
"West Chester University of Pennsylvania","PA","19383",2,73,67,76
"Westminster College","PA","16172",2,73,64,80
"Widener University","PA","19013-5792",2,68,66,70
"Wilkes University","PA","18766",2,61,62,60
"Wilson College","PA","17201-1285",2,53,39,57
"Yeshivath Beth Moshe","PA","18505-2196",2,11,11,
"York College of Pennsylvania","PA","17403-3651",2,65,64,67
"Brown University","RI","02912",1,96,95,97
"Bryant University","RI","02917-1291",1,84,81,87
"Johnson & Wales University-Providence","RI","02903-3703",1,57,54,60
"New England Institute of Technology","RI","02818-1205",1,,,
"Providence College","RI","02918-0001",1,89,87,91
"Rhode Island College","RI","02908",1,46,44,46
"University of Rhode Island","RI","02881",1,69,65,73
"Rhode Island School of Design","RI","02903-2784",1,89,85,90
"Roger Williams University","RI","02809-2921",1,70,66,74
"Salve Regina University","RI","02840-4192",1,73,67,75
"Northpoint Bible College","MA","01835",1,53,55,52
"Allen University","SC","29204",5,23,15,31
"Anderson University","SC","29621-4035",5,64,56,67
"Charleston Southern University","SC","29406-9121",5,49,43,53
"Benedict College","SC","29204-1086",5,25,17,33
"Bob Jones University","SC","29614-0001",5,66,63,68
"Southern Wesleyan University","SC","29630-1020",5,52,47,60
"College of Charleston","SC","29424-0001",5,67,61,70
"Citadel Military College of South Carolina","SC","29409",5,73,74,69
"Claflin University","SC","29115-4498",5,51,42,56
"Clemson University","SC","29634",5,85,81,89
"Clinton College","SC","29730",5,80,100,75
"Coker University","SC","29550",5,37,34,40
"Columbia International University","SC","29203-1513",5,60,50,68
"Columbia College","SC","29203",5,54,,54
"Converse University","SC","29302-0006",5,57,,57
"Erskine College","SC","29639",5,40,35,48
"Francis Marion University","SC","29506",5,43,36,47
"Furman University","SC","29613-6162",5,82,80,83
"Greenville Technical College","SC","29606",5,,,
"Lander University","SC","29649-2099",5,53,52,54
"Limestone University","SC","29340-3799",5,30,26,38
"Morris College","SC","29150-3599",5,25,25,24
"Newberry College","SC","29108",5,54,48,61
"North Greenville University","SC","29688-1892",5,57,52,64
"Presbyterian College","SC","29325",5,60,55,64
"University of South Carolina Aiken","SC","29801",5,43,37,46
"University of South Carolina Beaufort","SC","29909",5,30,25,32
"University of South Carolina-Columbia","SC","29208",5,78,74,81
"Coastal Carolina University","SC","29526",5,51,47,54
"South Carolina State University","SC","29117-0001",5,30,25,36
"University of South Carolina-Upstate","SC","29303-4999",5,47,37,53
"Spartanburg Methodist College","SC","29301-5899",5,,,
"Voorhees College","SC","29042",5,32,27,36
"Winthrop University","SC","29733",5,58,53,61
"Wofford College","SC","29303-3663",5,80,74,86
"Augustana University","SD","57197-0001",4,71,68,72
"Black Hills State University","SD","57799-9500",4,42,30,52
"Dakota State University","SD","57042-1799",4,45,42,50
"Dakota Wesleyan University","SD","57301-4398",4,49,47,51
"Mount Marty University","SD","57078-3724",4,61,58,62
"National American University-Rapid City","SD","57701-2823",4,13,0,25
"Northern State University","SD","57401-7198",4,56,52,60
"Oglala Lakota College","SD","57752-0490",4,7,4,8
"Presentation College","SD","57401-1280",4,33,29,40
"South Dakota School of Mines and Technology","SD","57701-3995",4,52,50,59
"South Dakota State University","SD","57007-1898",4,59,55,64
"Sinte Gleska University","SD","57555-0105",4,0,0,0
"University of Sioux Falls","SD","57105-1699",4,58,57,58
"University of South Dakota","SD","57069-2390",4,60,53,65
"American Baptist College","TN","37207-9980",5,10,17,0
"Austin Peay State University","TN","37044",5,40,34,44
"Baptist Health Sciences University","TN","38104",5,59,75,56
"Belmont University","TN","37212-3757",5,68,63,71
"Bethel University","TN","38201",5,35,36,34
"Bryan College-Dayton","TN","37321",5,60,56,64
"Carson-Newman University","TN","37760",5,56,47,62
"Christian Brothers University","TN","38104",5,59,52,67
"Cumberland University","TN","37087",5,53,43,74
"Lipscomb University","TN","37204-3951",5,71,65,75
"Hussian College-Daymar College Nashville","TN","37214",5,71,40,78
"East Tennessee State University","TN","37614",5,51,43,57
"Fisk University","TN","37208-4501",5,45,39,47
"Welch College","TN","37066-8460",5,49,53,45
"Freed-Hardeman University","TN","38340-2399",5,65,63,66
"Johnson University","TN","37998",5,62,59,66
"King University","TN","37620-2699",5,45,41,49
"South College","TN","37909-0000",5,49,22,57
"Lane College","TN","38301-4598",5,24,20,31
"Le Moyne-Owen College","TN","38126-6595",5,18,12,22
"Lee University","TN","37311",5,58,46,64
"Lincoln Memorial University","TN","37752-9900",5,57,50,61
"The University of Tennessee Southern","TN","38478-2799",5,32,26,37
"Maryville College","TN","37804-5907",5,56,48,65
"University of Memphis","TN","38152",5,54,48,60
"Middle Tennessee State University","TN","37132",5,54,51,56
"Rhodes College","TN","38112-1690",5,85,82,88
"The University of the South","TN","37383-1000",5,80,78,82
"Southern Adventist University","TN","37315-0370",5,57,53,60
"Tennessee Wesleyan University","TN","37303",5,52,32,64
"The University of Tennessee-Chattanooga","TN","37403-2598",5,54,47,58
"The University of Tennessee-Knoxville","TN","37996",5,72,67,77
"The University of Tennessee-Martin","TN","38238",5,52,53,51
"Tennessee State University","TN","37209-1561",5,31,27,33
"Tennessee Technological University","TN","38505-0001",5,60,55,66
"Trevecca Nazarene University","TN","37210",5,49,47,51
"Tusculum University","TN","37743",5,40,32,48
"Union University","TN","38305-3697",5,68,75,64
"Vanderbilt University","TN","37240",5,93,93,94
"Abilene Christian University","TX","79699",6,60,55,63
"Angelo State University","TX","76909",6,45,41,47
"Arlington Baptist University","TX","76012-3425",6,23,14,36
"The Art Institute of Houston","TX","77027-9625",6,35,30,40
"Austin College","TX","75090-4400",6,68,66,70
"Austin Community College District","TX","78752",6,,,
"Baptist Missionary Association Theological Seminary","TX","75766-5407",6,100,100,
"Baylor University","TX","76798",6,82,80,83
"Remington College-Dallas Campus","TX","75041",6,60,60,60
"Brazosport College","TX","77566",6,,,
"Concordia University Texas","TX","78726",6,37,34,41
"Texas A & M University-Corpus Christi","TX","78412-5503",6,36,32,39
"Dallas Baptist University","TX","75211-9299",6,61,57,63
"Dallas Christian College","TX","75234-7299",6,19,18,21
"University of Dallas","TX","75062-4736",6,72,67,75
"Del Mar College","TX","78404-3897",6,,,
"East Texas Baptist University","TX","75670-1498",6,45,39,51
"Texas A&M University-Texarkana","TX","75503",6,24,20,26
"Texas A & M University-Commerce","TX","75429-3011",6,42,36,47
"Dallas College","TX","75215-3604",6,,,
"Western Technical College","TX","79924",6,,,
"Western Technical College","TX","79927",6,,,
"Miami International University of Art & Design-Art Institute Dallas","TX","75231-5993",6,17,16,18
"Galveston College","TX","77550-7496",6,,,
"Grayson College","TX","75020-8299",6,,,
"Hallmark University","TX","78230-1736",6,57,55,62
"Hardin-Simmons University","TX","79698-0001",6,52,48,55
"Trinity Valley Community College","TX","75751",6,,,
"Houston Baptist University","TX","77074-3298",6,44,36,49
"University of Houston-Clear Lake","TX","77058-1002",6,53,47,59
"University of Houston-Downtown","TX","77002-1014",6,30,22,36
"University of Houston-Victoria","TX","77901",6,22,18,25
"University of Houston","TX","77204-2018",6,62,56,68
"Howard Payne University","TX","76801-2794",6,35,27,47
"Huston-Tillotson University","TX","78702-2795",6,33,37,28
"University of the Incarnate Word","TX","78209",6,58,53,61
"Jarvis Christian University","TX","75765-1470",6,36,47,30
"Lamar University","TX","77705",6,39,33,43
"Laredo College","TX","78040-4395",6,,,
"Texas A & M International University","TX","78041-1900",6,49,41,55
"LeTourneau University","TX","75602",6,64,63,65
"Lubbock Christian University","TX","79407-2099",6,43,43,43
"College of the Mainland","TX","77591-2499",6,,,
"University of Mary Hardin-Baylor","TX","76513-2599",6,53,41,60
"McMurry University","TX","79697",6,31,21,48
"Midland College","TX","79705",6,,,
"Midwestern State University","TX","76308-2099",6,47,40,52
"Wade College","TX","75207",6,,,
"Lone Star College System","TX","77381-4399",6,,,
"University of North Texas","TX","76203-1277",6,60,54,66
"Odessa College","TX","79764",6,,,
"Our Lady of the Lake University","TX","78207-4689",6,35,32,37
"The University of Texas Rio Grande Valley","TX","78539-2999",6,51,44,57
"Paul Quinn College","TX","75241",6,23,22,24
"Prairie View A & M University","TX","77446",6,42,35,46
"Rice University","TX","77005-1827",6,92,91,94
"Saint Edward's University","TX","78704-6489",6,66,64,67
"University of St Thomas","TX","77006-4696",6,62,51,66
"Sam Houston State University","TX","77340",6,57,52,60
"San Jacinto Community College","TX","77505",6,,,
"Schreiner University","TX","78028-5697",6,45,44,46
"St. Mary's University","TX","78228",6,59,52,65
"Southern Methodist University","TX","75275-0221",6,82,78,87
"Southwestern Assemblies of God University","TX","75165",6,52,39,63
"Southwestern University","TX","78626",6,74,69,77
"Stephen F Austin State University","TX","75961",6,53,44,58
"Texas State University","TX","78666",6,57,52,60
"Southwestern Adventist University","TX","76059",6,42,37,47
"Southwestern Christian College","TX","75160-4812",6,67,67,
"Sul Ross State University","TX","79832",6,29,21,38
"Tarleton State University","TX","76401-0000",6,49,48,50
"Texas A & M University-Kingsville","TX","78363",6,43,39,49
"Texas A & M University-College Station","TX","77843-1248",6,83,81,86
"The University of Texas at Arlington","TX","76013",6,51,48,54
"The University of Texas at Austin","TX","78705",6,88,85,90
"The University of Texas at Dallas","TX","75080-3021",6,72,67,78
"The University of Texas at El Paso","TX","79968-0691",6,45,40,50
"The University of Texas at Tyler","TX","75799-6699",6,42,35,47
"Texas Christian University","TX","76129",6,83,79,85
"Texas College","TX","75702",6,17,16,18
"Texas Lutheran University","TX","78155-5999",6,54,46,64
"The University of Texas Permian Basin","TX","79762-0001",6,42,37,48
"The University of Texas at San Antonio","TX","78249-1644",6,51,48,53
"Texas Southern University","TX","77004",6,23,22,24
"Texas Tech University","TX","79409-5005",6,63,60,65
"Texas Wesleyan University","TX","76105-1536",6,26,20,34
"Texas Woman's University","TX","76204",6,48,30,50
"Trinity University","TX","78212-7200",6,80,78,81
"Tyler Junior College","TX","75701",6,,,
"Wayland Baptist University","TX","79072",6,25,17,39
"Weatherford College","TX","76086-5699",6,,,
"West Texas A & M University","TX","79016-0001",6,46,38,52
"Wiley College","TX","75670",6,27,24,30
"Brigham Young University","UT","84602",7,77,73,80
"Brigham Young University-Hawaii","HI","96762-1294",8,49,57,47
"Broadview College","UT","84088",7,0,,0
"Dixie State University","UT","84770-3876",7,25,18,29
"Eagle Gate College-Murray","UT","84123-6965",7,36,0,42
"Ensign College","UT","84101-3500",7,,,
"Snow College","UT","84627",7,100,100,100
"Southern Utah University","UT","84720",7,47,49,47
"Utah State University","UT","84322-1400",7,55,55,55
"Utah Valley University","UT","84058-5999",7,33,30,37
"University of Utah","UT","84112-9008",7,67,65,70
"Weber State University","UT","84408-1001",7,40,33,46
"Westminster College","UT","84105",7,63,59,67
"Bennington College","VT","05201-6003",1,68,71,66
"Castleton University","VT","05735",1,54,52,57
"Champlain College","VT","05401",1,68,63,78
"Goddard College","VT","05667-9432",1,50,40,60
"Northern Vermont University","VT","05656-9464",1,36,33,40
"Middlebury College","VT","05753",1,91,91,92
"Norwich University","VT","05663-1035",1,62,59,72
"Saint Michael's College","VT","05439",1,78,76,80
"Sterling College","VT","05827-0072",1,36,30,40
"Vermont Technical College","VT","05061",1,35,39,19
"University of Vermont","VT","05405-0160",1,77,71,81
"Averett University","VA","24541",5,42,38,46
"Bluefield University","VA","24605",5,35,28,46
"Bridgewater College","VA","22812-1599",5,62,59,65
"William & Mary","VA","23187-8795",5,91,89,93
"Regent University","VA","23464",5,63,55,67
"Christopher Newport University","VA","23606-3072",5,75,73,76
"Bryant & Stratton College-Virginia Beach","VA","23462",5,0,0,0
"Centura College-Virginia Beach","VA","23452-7431",5,,,
"Emory & Henry College","VA","24327-0947",5,51,44,58
"Eastern Mennonite University","VA","22802-2462",5,55,49,60
"Ferrum College","VA","24088-9000",5,34,29,43
"George Mason University","VA","22030-4444",5,70,65,75
"Hampden-Sydney College","VA","23943-0128",5,65,65,0
"Hampton University","VA","23668-0099",5,57,52,59
"Hollins University","VA","24020",5,59,,59
"James Madison University","VA","22807",5,82,77,85
"Liberty University","VA","24515",5,65,61,69
"Longwood University","VA","23909",5,65,61,67
"University of Lynchburg","VA","24501-3113",5,66,58,73
"Mary Baldwin University","VA","24401",5,48,,48
"University of Mary Washington","VA","22401-5300",5,68,63,71
"Marymount University","VA","22207-4299",5,62,59,64
"American National University","VA","24153",5,,,
"Norfolk State University","VA","23504-8000",5,37,31,42
"Old Dominion University","VA","23529",5,49,45,52
"Radford University","VA","24142",5,54,46,59
"Randolph-Macon College","VA","23005-5505",5,72,71,73
"Randolph College","VA","24503-1555",5,56,49,59
"University of Richmond","VA","23173",5,89,87,91
"Roanoke College","VA","24153-3794",5,70,65,73
"Shenandoah University","VA","22601-5195",5,63,61,65
"Southeastern Free Will Baptist Bible College","NC","27591-9072",5,50,60,25
"Southern Virginia University","VA","24416",5,44,35,52
"Strayer University-Virginia","VA","22201",5,23,25,17
"Sweet Briar College","VA","24595-9998",5,42,,42
"University of Virginia's College at Wise","VA","24293-4400",5,39,36,42
"Virginia Polytechnic Institute and State University","VA","24061-0131",5,87,84,90
"Virginia Commonwealth University","VA","23284-2512",5,68,61,72
"University of Virginia-Main Campus","VA","22903-2628",5,94,92,95
"Virginia Military Institute","VA","24450-0304",5,74,73,78
"Virginia University of Lynchburg","VA","24501",5,25,33,0
"Virginia State University","VA","23806",5,48,41,53
"Virginia Union University","VA","23220",5,42,37,45
"Virginia Wesleyan University","VA","23455",5,47,41,50
"Washington and Lee University","VA","24450-2116",5,94,93,94
"Bellevue College","WA","98007-6484",8,,,
"Bellingham Technical College","WA","98225-1599",8,,,
"Big Bend Community College","WA","98837-3299",8,,,
"Central Washington University","WA","98926",8,54,50,57
"Centralia College","WA","98531-4099",8,,,
"Clark College","WA","98663-3598",8,,,
"Clover Park Technical College","WA","98499-4004",8,,,
"Columbia Basin College","WA","99301",8,,,
"Cornish College of the Arts","WA","98121",8,51,52,51
"Eastern Washington University","WA","99004-2496",8,50,48,51
"Edmonds College","WA","98036-5912",8,,,
"The Evergreen State College","WA","98505-0001",8,43,38,47
"Pierce College District","WA","98498-1999",8,,,
"Gonzaga University","WA","99258-0001",8,85,82,88
"Grays Harbor College","WA","98520-7599",8,,,
"Green River College","WA","98092-3622",8,,,
"Heritage University","WA","98948",8,53,49,56
"Highline College","WA","98198-9800",8,,,
"Lake Washington Institute of Technology","WA","98034-8506",8,,,
"Lower Columbia College","WA","98632",8,,,
"North Seattle College","WA","98103-3599",8,,,
"Northwest University","WA","98083-0579",8,57,58,57
"Olympic College","WA","98337-1699",8,,,
